,title,author,url,page_count,price,currently_reading_count,wanting_to_read_count,average_rating,amount_rating,publishing_year
0,"Icebreaker (UCMH, #1)",Hannah  Grace,/book/show/61767292-icebreaker,435,Unlimited,74000.0,620000.0,3.83,918414,2022
1,The Invisible Life of Addie LaRue (Hardcover),Victoria Schwab,/book/show/50623864-the-invisible-life-of-addie-larue,448,Unlimited,103000.0,1000000.0,4.18,1166903,2020
2,The Song of Achilles (Paperback),Madeline Miller,/book/show/13623848-the-song-of-achilles,408,13.99,121000.0,,4.32,1616169,2011
3,"Haunting Adeline (Cat and Mouse, #1)",H.D. Carlton,/book/show/58763686-haunting-adeline,583,,89300.0,438000.0,3.96,568696,2021
4,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,/book/show/50659467-a-court-of-thorns-and-roses,419,,163000.0,2000000.0,4.18,3018187,2015
5,The Night Circus (Hardcover),Erin Morgenstern,/book/show/9361589-the-night-circus,506,13.99,45000.0,1000000.0,4.01,1007848,2011
6,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,/book/show/26032825-the-cruel-prince,370,,67200.0,1000000.0,4.03,1363735,2018
7,"Red, White & Royal Blue (Paperback)",Casey McQuiston,/book/show/41150487-red-white-royal-blue,448,Unlimited,59700.0,1000000.0,4.08,1064188,2019
8,"Ninth House (Alex Stern, #1)",Leigh Bardugo,/book/show/43263680-ninth-house,461,,35100.0,706000.0,4.02,334883,2019
9,"The Atlas Six (The Atlas, #1)",Olivie Blake,/book/show/50520939-the-atlas-six,556,9.99,28900.0,664000.0,3.59,227389,2020
10,A Little Life (Hardcover),Hanya Yanagihara,/book/show/22822858-a-little-life,720,13.99,157000.0,1000000.0,4.32,708820,2015
11,Where the Crawdads Sing (ebook),Delia Owens,/book/show/36809135-where-the-crawdads-sing,384,12.99,170000.0,1000000.0,4.38,3169400,2018
12,"Tomorrow, and Tomorrow, and Tomorrow (Hardcover)",Gabrielle Zevin,/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow,401,13.99,75200.0,,4.15,1013893,2022
13,"The Spanish Love Deception (Spanish Love Deception, #1)",Elena  Armas,/book/show/54189398-the-spanish-love-deception,487,11.99,31800.0,636000.0,3.82,726029,2021
14,Circe (Hardcover),Madeline Miller,/book/show/35959740-circe,393,11.99,82800.0,,4.23,1133295,2018
15,The Midnight Library (Hardcover),Matt Haig,/book/show/52578297-the-midnight-library,288,12.99,104000.0,2000000.0,3.99,1940447,2020
16,Normal People (Hardcover),Sally Rooney,/book/show/41057294-normal-people,273,12.99,67200.0,1000000.0,3.81,1508071,2018
17,The 7 1/2 Deaths of Evelyn Hardcastle (Hardcover),Stuart Turton,/book/show/36337550-the-7-1-2-deaths-of-evelyn-hardcastle,432,Unlimited,37200.0,685000.0,3.81,406503,2018
18,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,/book/show/10429045-shatter-me,338,,42500.0,824000.0,3.85,973300,2011
19,Lessons in Chemistry (Hardcover),Bonnie Garmus,/book/show/206305528-lessons-in-chemistry,404,14.99,81200.0,,4.29,1422173,2022
20,The Seven Husbands of Evelyn Hugo (Hardcover),Taylor Jenkins Reid,/book/show/32620332-the-seven-husbands-of-evelyn-hugo,389,14.99,134000.0,,4.41,3314533,2017
21,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,/book/show/61431922-fourth-wing,517,,120000.0,1000000.0,4.57,1998731,2023
22,"Dune (Dune, #1)",Frank Herbert,/book/show/44767458-dune,658,,151000.0,,4.28,1445094,1965
23,"Twisted Love (Twisted, #1)",Ana Huang,/book/show/55817097-twisted-love,360,,63200.0,547000.0,3.72,1083311,2021
24,Daisy Jones & The Six (Hardcover),Taylor Jenkins Reid,/book/show/40597810-daisy-jones-the-six,368,2.99,63500.0,1000000.0,4.21,1600148,2019
25,Den of Vipers (Kindle Edition),K.A. Knight,/book/show/53544752-den-of-vipers,654,Unlimited,28600.0,169000.0,3.64,170322,2020
26,Pride and Prejudice (Paperback),Jane Austen,/book/show/1885.Pride_and_Prejudice,279,0.99,219000.0,2000000.0,4.29,4371410,1813
27,The Secret History (Paperback),Donna Tartt,/book/show/29044.The_Secret_History,559,12.99,83800.0,1000000.0,4.17,809820,1992
28,"The Priory of the Orange Tree (The Roots of Chaos, #1)",Samantha    Shannon,/book/show/40275288-the-priory-of-the-orange-tree,848,,50700.0,741000.0,4.19,225288,2019
29,"They Both Die at the End (Death-Cast, #1)",Adam Silvera,/book/show/33385229-they-both-die-at-the-end,389,,45300.0,794000.0,3.76,781402,2017
30,It Ends with Us (It Ends with Us #1),Colleen Hoover,/book/show/27362503-it-ends-with-us,386,,127000.0,1000000.0,4.14,3821783,2016
31,"These Violent Delights (These Violent Delights, #1)",Chloe Gong,/book/show/50892212-these-violent-delights,449,,15100.0,464000.0,3.83,152944,2020
32,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,/book/show/23437156-six-of-crows,465,,63900.0,1000000.0,4.48,1003066,2015
33,"Things We Never Got Over (Knockemout, #1)",Lucy Score,/book/show/60060431-things-we-never-got-over,572,,100000.0,913000.0,4.15,876685,2022
34,"The Fine Print (Dreamland Billionaires, #1)",Lauren Asher,/book/show/74045390-the-fine-print,448,,34200.0,488000.0,3.84,545715,2021
35,People We Meet on Vacation (Paperback),Emily Henry,/book/show/54985743-people-we-meet-on-vacation,364,9.99,55100.0,,3.87,1277396,2021
36,The Starless Sea (Hardcover),Erin Morgenstern,/book/show/43575115-the-starless-sea,498,9.99,22900.0,448000.0,3.85,212817,2019
37,"Outlander (Outlander, #1)",Diana Gabaldon,/book/show/10964.Outlander,850,,69600.0,759000.0,4.26,1082815,1991
38,All the Light We Cannot See (Hardcover),Anthony Doerr,/book/show/18143977-all-the-light-we-cannot-see,544,14.99,111000.0,2000000.0,4.31,1749809,2014
39,This Is How You Lose the Time War (Kindle Edition),Amal El-Mohtar,/book/show/43352954-this-is-how-you-lose-the-time-war,209,12.99,20400.0,435000.0,3.88,242495,2019
40,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,/book/show/44421460-before-the-coffee-gets-cold,213,,50300.0,,3.69,476636,2015
41,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,/book/show/46000520-the-thursday-murder-club,382,,58700.0,438000.0,3.88,542968,2020
42,"Red Queen (Red Queen, #1)",Victoria Aveyard,/book/show/22328546-red-queen,388,,34300.0,1000000.0,4.0,1055560,2015
43,The Hating Game (Paperback),Sally  Thorne,/book/show/27213238-the-hating-game,365,12.99,18800.0,847000.0,3.88,747359,2016
44,Babel (Hardcover),R.F. Kuang,/book/show/57945316-babel,544,15.99,48700.0,686000.0,4.18,274531,2022
45,"Red Rising (Red Rising Saga, #1)",Pierce Brown,/book/show/15839976-red-rising,382,,39100.0,,4.27,498994,2014
46,"A Discovery of Witches (All Souls, #1)",Deborah Harkness,/book/show/8667848-a-discovery-of-witches,579,,33200.0,482000.0,4.02,506695,2011
47,Credence (Paperback),Penelope Douglas,/book/show/49084724-credence,560,Unlimited,37200.0,298000.0,3.68,391818,2020
48,The Book Thief (Kindle Edition),Markus Zusak,/book/show/19063.The_Book_Thief,592,10.99,93800.0,2000000.0,4.39,2641843,2005
49,"Powerless (The Powerless Trilogy, #1)",Lauren  Roberts,/book/show/75513900-powerless,523,12.99,44900.0,787000.0,4.22,390155,2023
50,"Neon Gods (Dark Olympus, #1)",Katee Robert,/book/show/54659771-neon-gods,380,,15700.0,287000.0,3.7,262818,2021
51,Book Lovers (Hardcover),Emily Henry,/book/show/58690308-book-lovers,377,9.99,45600.0,1000000.0,4.13,1207959,2022
52,"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,/book/show/52831200-from-blood-and-ash,622,,43900.0,934000.0,4.23,640691,2020
53,Bunny (Paperback),Mona Awad,/book/show/53285047-bunny,305,14.99,17400.0,438000.0,3.5,225920,2019
54,Beach Read (Paperback),Emily Henry,/book/show/52867387-beach-read,361,12.99,51700.0,1000000.0,4.0,1284372,2020
55,"The House in the Cerulean Sea (Cerulean Chronicles, #1)",T.J. Klune,/book/show/45047384-the-house-in-the-cerulean-sea,394,,38800.0,854000.0,4.4,704082,2020
56,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,/book/show/51901147-the-ballad-of-songbirds-and-snakes,541,10.99,76800.0,566000.0,3.96,842946,2020
57,"The ​Crown of Gilded Bones (Blood and Ash, #3)",Jennifer L. Armentrout,/book/show/55240343-the-crown-of-gilded-bones,645,,32500.0,248000.0,4.17,342707,2021
58,We Were Liars (Kindle Edition),E. Lockhart,/book/show/16143347-we-were-liars,242,,33600.0,,3.67,1194075,2014
59,American Gods (Kindle Edition),Neil Gaiman,/book/show/30165203-american-gods,635,,47100.0,745000.0,4.11,952671,2001
60,Eleanor Oliphant Is Completely Fine (Paperback),Gail Honeyman,/book/show/35900387-eleanor-oliphant-is-completely-fine,390,12.99,47500.0,683000.0,4.23,1279538,2017
61,The Love Hypothesis (Paperback),Ali Hazelwood,/book/show/56732449-the-love-hypothesis,383,10.99,40100.0,1000000.0,4.13,1498781,2021
62,"A Thousand Boy Kisses (A Thousand Boy Kisses, #1)",Tillie Cole,/book/show/25912358-a-thousand-boy-kisses,316,,35200.0,464000.0,4.07,351190,2016
63,1984 (Paperback),George Orwell,/book/show/61439040-1984,368,Unlimited,195000.0,2000000.0,4.19,4788130,1949
64,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,/book/show/76703559-throne-of-glass,406,,69800.0,1000000.0,4.18,1730511,2012
65,"Midnight Sun (The Twilight Saga, #5)",Stephenie Meyer,/book/show/53287484-midnight-sun,756,,511.0,6809.0,3.73,266540,2020
66,One Last Stop (Paperback),Casey McQuiston,/book/show/54860443-one-last-stop,418,Unlimited,16300.0,459000.0,3.92,250798,2021
67,"Iron Flame (The Empyrean, #2)",Rebecca Yarros,/book/show/90202302-iron-flame,640,,134000.0,538000.0,4.35,1326372,2023
68,"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,/book/show/52439531-the-inheritance-games,386,,37300.0,,4.15,816043,2020
69,"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,/book/show/42036538-gideon-the-ninth,448,,19400.0,281000.0,4.21,147453,2019
70,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,/book/show/50659468-a-court-of-mist-and-fury,626,,127000.0,652000.0,4.65,2290632,2016
71,Happy Place (Hardcover),Emily Henry,/book/show/61718053-happy-place,400,11.99,55000.0,,3.99,1046303,2023
72,"Caraval (Caraval, #1)",Stephanie Garber,/book/show/27883214-caraval,407,,29500.0,875000.0,3.98,606675,2016
73,The Goldfinch (Hardcover),Donna Tartt,/book/show/17333223-the-goldfinch,771,13.99,63200.0,909000.0,3.95,954269,2013
74,"A Deadly Education (The Scholomance, #1)",Naomi Novik,/book/show/50548197-a-deadly-education,320,,11500.0,372000.0,3.96,183721,2020
75,"Pucking Around (Jacksonville Rays, #1)",Emily Rath,/book/show/123194693-pucking-around,756,,23500.0,158000.0,3.83,140672,2023
76,"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,/book/show/44778083-house-of-earth-and-blood,803,,68600.0,913000.0,4.47,797052,2020
77,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Paperback),Mark Manson,/book/show/28257707-the-subtle-art-of-not-giving-a-f-ck,212,,142000.0,1000000.0,3.88,1188765,2016
78,"Beautiful World, Where Are You (Paperback)",Sally Rooney,/book/show/75555793-beautiful-world-where-are-you,337,Unlimited,30100.0,,3.53,416796,2021
79,"Priest (Priest, #1)",Sierra Simone,/book/show/25507389-priest,354,,20000.0,153000.0,3.6,160563,2015
80,Wuthering Heights (Paperback),Emily Brontë,/book/show/6185.Wuthering_Heights,464,3.99,87300.0,1000000.0,3.89,1860380,1847
81,"Hooked (Never After, #1)",Emily McIntire,/book/show/58545703-hooked,312,,35300.0,341000.0,3.79,356231,2021
82,"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,/book/show/55659629-it-happened-one-summer,397,,20800.0,583000.0,3.94,609303,2021
83,"Assistant to the Villain (Assistant to the Villain, #1)",Hannah Nicole Maehrer,/book/show/123257687-assistant-to-the-villain,342,,17000.0,250000.0,3.92,146909,2023
84,Uprooted (Hardcover),Naomi Novik,/book/show/22544764-uprooted,438,13.99,9501.0,259000.0,4.03,244472,2015
85,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,/book/show/50659472-a-court-of-wings-and-ruin,703,,124000.0,591000.0,4.48,1905941,2017
86,Anxious People (Hardcover),Fredrik Backman,/book/show/49127718-anxious-people,336,13.99,53100.0,634000.0,4.18,672632,2019
87,"The Ritual (L.O.R.D.S., #1)",Shantel Tessier,/book/show/58941251-the-ritual,606,Unlimited,33300.0,223000.0,4.06,215383,2021
88,"Glass Sword (Red Queen, #2)",Victoria Aveyard,/book/show/23174274-glass-sword,444,,23700.0,252000.0,3.79,377802,2016
89,"The Poppy War (The Poppy War, #1)",R.F. Kuang,/book/show/35068705-the-poppy-war,545,,29700.0,,4.17,302285,2018
90,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,/book/show/13496.A_Game_of_Thrones,835,,124000.0,1000000.0,4.44,2552730,1996
91,The Paris Apartment (Hardcover),Lucy Foley,/book/show/58468990-the-paris-apartment,360,14.99,29500.0,577000.0,3.66,578466,2022
92,The Silent Patient (Hardcover),Alex Michaelides,/book/show/40097951-the-silent-patient,336,Unlimited,142000.0,2000000.0,4.18,2460198,2019
93,Lolita (Paperback),Vladimir Nabokov,/book/show/7604.Lolita,368,12.99,49700.0,932000.0,3.88,872945,1955
94,"A Darker Shade of Magic (Shades of Magic, #1)",Victoria Schwab,/book/show/22055262-a-darker-shade-of-magic,400,,24600.0,647000.0,4.05,380420,2015
95,"A Touch of Darkness (Hades & Persephone, #1)",Scarlett St.  Clair,/book/show/43175155-a-touch-of-darkness,438,Unlimited,22000.0,411000.0,3.82,352997,2019
96,"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,/book/show/40916679-a-good-girl-s-guide-to-murder,433,,64900.00000000001,1000000.0,4.32,1294838,2019
97,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,/book/show/38447.The_Handmaid_s_Tale,311,,150000.0,1000000.0,4.14,2120612,1985
98,Little Women (Mass Market Paperback),Louisa May Alcott,/book/show/1934.Little_Women,449,2.99,103000.0,1000000.0,4.16,2284326,1868
